,Date,Time,Location,Operator,Type,Flight,Aboard,Fatalities,Ground,Summary
1790,12 09 1992,,"Uruapan, Mexico",Aero Sudpacifico,Britten-Norman BN-2B-27 Islander,,9,9,0,Crashed in the Sierra Madre mountains shortly after taking off.
1791,13 12 1992,,"Goma, Congo",Scibe Airlift Cargo Zaire,Fokker F-27 Friendship 400M,140,37,37,0,"The aircraft flew into high ground at 8,800 ft. while positioning for an approach to Goma.The accident happened in darkness."
1792,21 12 1992,07:53:00,"Faro, Algarve, Portugal",Martinair Holland NV,McDonnell Douglas DC-10-30CF,495,340,56,0,"While attempting a second landing in high winds, during a storm, the aircraft's wing tip hit the runway resulting in the aircraft departing the runway and causing a fuel tank to explode. The high rate of descent in the final phase of the approach and the landing made on the right landing gear which exceeded the structural limitations of the aircraft.The crosswind, which exceeded the aircrafts limits and which occurred in the final phase of the approach and during landing. The combination of both factors caused stresses which exceeded the structural limitations of the aircraft."
1793,22 12 1992,10:00:00,"Tripoli, Libya",Libya Arab Airlines / Military -  Libya Air Force,Boeing B-727-2L5 / MiG23UB,1103,157,157,0,"Midair collision with an Libyan Air Force fighter at 3,500 ft."
1794,01 03 1993,15:40:00,"Ofden, Utah",Air Taxi - South Coast Helicopters Inc.,Bell 206B3,,4,4,0,"The pilot was transporting personnel within a remote mountain valley in support of the commercial filming of celebrity skiers. The skiers had been filmed as they skied down a ridge, and were being flown back to the top of the ridge line. During the third go-around following three attempts to land on the ridge top landing site, the helicopter disappeared into a cloud bank and impacted the ridge at the 8,500-ft level. The pilot's continuation of VFR flight into instrument meteorological conditions, and his decision to continue his landing attempts under the adverse weather conditions."
1795,01 06 1993,19:20:00,"Paris, France",Lufthansa Cityline,de Havilland Canada DHC-8-301,5634,23,4,0,"While approaching Charles de Gaulle Airport,  a preceding Korean Air, Boeing 747 blew a tire on landing and the runway was closed. The crew had to use another runway but the aircraft entered a high sink rate and flew into the ground 5,500 feet short of the runway."
1796,01 09 1993,,"Surabaya, Indonesia",Bouraq Indonesia Airlines,Hawker Siddeley HS-748-234,,44,17,0,"The No. 2 engine lost power on takeoff. The aircraft crashed into a swamp 800m beyond the end of the runway, broke up and caught fire.  Flaps were found to be retracted.  Right propeller did not autofeather and had to be feathered manually."
1797,13 01 1993,,"Sellafield, England",Titan Airways,Embraer 110P1 Bandeirante,,2,2,0,The cargo plane struck a mountain while descending in fog and poor visibility.
1798,14 01 1993,08:30:00,"Near Bronson Creek, British Colombia, Canada",Central Mountain Air Services,Douglas C-47A,,2,2,0,"After takeoff, the cargo plane, banked sharply went nose-down and crashed."
1799,27 01 1993,,"Kinshasa, DemocratiRepubliCongo",Trans Service Airlift,Nord 262A-44,,21,3,0,While attempting to takeoff the cargo plane overran the runway and struck vehicles.
1800,31 01 1993,,"Sumatra, Indonesia",Pan Malaysian Air Transport,Shorts SC-7 Skyvan 3-100,,16,16,0,"Crashed into Mt. Kapur 67nm from Medan in poor weather conditions with thunderstorms. The plane has not been found. Pilot was flying at 8,500 ft., below the published minimum safe altitude."
1801,02 08 1993,14:15:00,"Near Tehran, Iran",Iran Air Tours  /  Military - Iranian Air Force,Tupolev TU-154M / Sukhoi Su-24,,133,133,0,Midair collision with an Iranian Air Force fighter while taking off. One hundred thirty-one killed on the Tupolev and one killed on the Su-24.
1802,02 10 1993,,"Near Daraim, Afghanistan",Military - Afghan Republican Air Force,Mil Mi-8,,30,30,0,The helicopter crashed while en route. Overloaded and poorly maintained.
1803,20 02 1993,,"Bogota, Colombia",Cargo Three Panama,Convair CV-440,,2,2,0,The cargo plane attempted to return to the airport after an engine caught fire but crashed in a field.
1804,28 02 1993,,"Off Green Island, Taiwan",Formosa Airlines,Dornier 228-201,,6,6,0,"The aircraft disappeared shortly before it was due to land and is believed to have crashed into the sea. Prior to the loss of contact, the flight had appeared to be proceeding normally. The accident occurred during daylight and in heavy rain."
1805,03 05 1993,11:12:00,"Skopje, Macedonia",Palair Macedonian,Fokker 100,301,97,83,0,"The aircraft shuttered violently after takeoff,  rolled to the left, then right and crashed. Icing. Loss of roll controllability due to contamination on the wings with ice. Failure to de-ice the plane before taking off."
1806,14 03 1993,22:34:00,"Grants, New Mexico",Air Taxi - Guinn Flying Service,Beechcraft 58,,4,4,0,"The airplane was in cruise flight along an airway, with a minimum en route altitude of 13,300 feet, when it impacted terrain at an elevation of 10,600 feet. The pilot's inadequate preflight planning/preparation and the selection of an altitude that would not provide terrain clearance along his planned route. Factors were the dark night conditions and the mountainous terrain."
1807,19 03 1993,20:02:00,"Dagali, Norway",West Aviation,Beech Super King Air 200,,10,3,0,Crashed 5 km short and 1km to the right of Runway 26 in poor weather conditons
1808,23 03 1993,13:35:00,"Near Tangara de Serra, Brazil",Oeste Linhas Aereas,Embraer EMB-110 Bandeirante,,6,6,0,The aircraft crashed approximately 30 minutes after takeoff in rain.
1809,31 03 1993,12:25:00,"Anchorage, Alaska",Japan Air Lines,Boeing B-747-466,46E,5,0,0,"The No.2 engine and pylon separated from the aircraft at 2,000 feet. The plane landed safely. The engine separation was due to an encounter with severe or possibly extreme turbulence and a fatigue crack."
1810,04 01 1993,21:28:00,"Blountville, Tennesee",Private,Fairchild SA227-TT,,4,4,0,"The Hooters Restaurant private plane crashed 0.5 miles outside the Outer Marker while attempting to land at the Tri-Cities airport near Bristol, Tennessee. NASCAR Winston Cup Champion Alan Kulwicki, 38, killed. Failure of the pilot to follow procedures concerning use of the engine inlet anti-icing system while operating  in icing conditions, which resulted in ice ingestion and loss of engine power. Failure of the pilot to maintain airspeed while coping with the engine problem."
1811,04 01 1993,16:15:00,"Aspen, Colorado",Air Taxi - Sea PacifiInc.,Aerospatiale SA316B,,4,3,0,"While in cruise flight at an altitude of 150 to 200 feet agl, the surviving passenger heard abnormal sounds from the helicopter which then began a descending right bank into trees. Examination of the helicopter disclosed fatigue failure of the lower mixing unit and a fatigue crack in the upper mixing unit on the flight control system."
1812,04 02 1993,,"Off Margarita Island, Venezuela",Linea Aeropostal Venezolana,McDonnell Douglas DC-9-15,,11,11,0,Crashed into the sea after departing Caracas on a test flight.
1813,04 06 1993,01:10:00,"950 nm S of  Shemya, Alaska",China Eastern Airlines,McDonnell Douglas MD-11,583,264,2,0,"The slats were inadvertently deployed while at FL 330. The aircraft progressed through several pitch oscillations and lost 5,000 feet in altitude. Inadequate design of the flap/slat actuation handle that allowed the handle to be easily and inadvertently dislodged from the UP/RET position, thereby causing extension of the leading edge slats during cruise flight."
1814,19 04 1993,15:52:00,"Zwingle, Iowa",Private,Mitsubishi MU-2B-60,-,8,8,0,"While cruising at FL240, a fracture of the propeller hub resulted in the separation of a propeller blade and damage to the engine, nacelle, wing and fuselage causing significant degradation to aircraft performance. The aircraft was incapable of maintaining altitude and crashed into a silo while attempting to make an emergency landing. South Dakota Governor George Mickelson, 52, killed."
1815,23 04 1993,,"Zavnah, Mongolia",MIAT - Mongolian Airlines,Antonov AN-26B,,40,40,0,Flew into hillside in poor weather conditions.
1816,26 04 1993,13:00:00,"Aurangabad, India",Indian Airlines,Boeing B-737-2A8,491,118,56,0,"During take off, the aircraft failed to climb and struck a vehicle on a publiroad just beyond the end of the runway. The aircraft was substantially damaged and the pilot elected to carry out a forced landing. During the attempted landing, the aircraft struck powerlines, crashed and burned."
1817,27 04 1993,,"Near Kholm, Afghanistan",Military - Afghan Republican Air Force,Antonov AN-32,,76,76,0,"Crashed into a hill in poor visibility, low clouds and fog."
1818,27 04 1993,23:00:00,"Off  Libreville, Gambia",Military - Zambian Air Force,de Havilland  Canada  DHC-5D Buffalo,,30,30,0,Crashed into the sea after taking off from Libreville Airport. An engine fire led to loss of control of the aircraft.  All eighteen members of the Zambian national soccer team killed.
1819,28 04 1993,23:50:00,"Shelton, Nebraska",GP Express Airlines,Beechcraft C99,,2,2,0,"The deliberate disregard for Federal Aviation Regulations, GP Express procedures, and prudent concern for safety by the two pilots in their decision to execute an aerobatimanoeuvre during a scheduled check ride flight, and the failure of GP Express management to establish and maintain a commitment to instill professionalism in their pilots consistent with the highest levels of safety necessary for an airline operating scheduled passenger service."
1820,05 11 1993,,"Suva, Fiji",Fiji Air,Britten-Norman BN-2A-6 Islander,,2,2,0,"While landing, undershot the runway and struck a vehicle."
1821,15 05 1993,,"Near Cancun, Mexico",Carga del Caribe,Douglas DC-6BF,,5,3,0,
1822,19 05 1993,15:04:00,"Near Medellin, Colombia",SAM Colombia,Boeing B-727-46,501,132,132,0,"The plane hit Mt. Paramo Frontino at 12,300 ft. while on approach to Maria Cordova Airport. Errors by the crew and the ATC. The aircraft descended into mountainous terrain before actually reaching the Abejorral NDB beacon. The VOR/DME had been sabotaged by terrorists and not in service."
1823,06 06 1993,,"El Yopal, Colombia",Aerotaca,de Havilland Canada DHC-6 Twin Otter 300,,2,2,0,The cargo plane impacted a hill while on visual approach to El Yopal.
1824,06 07 1993,,"Near Ariab, Sudan",Sasco Air Lines,Cessna 404 Titan,,11,11,0,Lost the right engine on takeoff. The pilot returned to the airport and landed with the landing gear retracted. During the slide the left wing struck a rock and ruptured causing the plane to burst into flames.
1825,06 09 1993,,"Gulgubip, Papua New Guinea",Southwest Air,Britten-Norman  BN-2A-20 Trislander,,11,9,0,On final approach at low speed the left wing dropped and touched the ground during a stall or deliberate low left turn. The plane cartwheeled and broke up.
1826,16 06 1993,,"Nabire, Indonesia",Merpati Nasantara Airlines,de Havilland Canada DHC-6 Twin Otter 300,,3,1,0,"The cargo aboard shifted after takeoff, the plane nosed up, stalled and crashed."
1827,17 06 1993,21:10:00,"Near Tbilisi, Georgia",Tajikistan Airlines,Antonov AN-26,,40,40,0,The crew reported they were diverting due to thunderstorms. Soon after the aircraft crashed after encountering severe turbulence.
1828,07 01 1993,,"Sorong, Irian Jaya, Indonesia",Merpati Nusantara Airlines,Fokker F-28 Fellowship 3000,,43,41,0,The plane overran the runway while attempting to land in rain and reduced visibility and crashed onto a beach.
1829,07 06 1993,,"Near Ochamchire, Georgia",Military - Georgian Air Force,Mil Mi-8,,23,23,0,Shot down by Abkhazi forces.
1830,07 12 1993,,"Las Vegas, Nevada",Hyannis Air Service - Air Taxi,Cessna 402C,,3,3,0,The pilot told the local controller that the baggage door was open and he requested a 'go around.' the local controller told the pilot to make right traffic. Multiple witnesses saw the airplane in a nose high attitude during the initial climb after takeoff. They reported the pilot entered a right turn which continued until the airplane 'fell to the ground and hit nose first.  The pilot's failure to maintain adequate airspeed while maneuvering in the traffipattern. A factor which contributed to the accident was the pilot's failure to assure that the nose baggage compartment door was secured.
1831,07 12 1993,14:55:00,"Talladega, Alabama",Private,"Helicopter, Hughes 369HS",,2,1,0,"The helicopter crashed while attempting to land in a confined area of the infield of the Talladega Super Speedway. The pilot of the helicopter, NASCAR race car driver Davey Allison, 30, killed. The pilot's poor in-flight decision to land downwind in a confined area that was surrounded by high obstructions, and his failure to properly compensate for the tailwind condition."
1832,23 07 1993,15:40:00,"Yinchuan, China",China Northwest Airlines,British Aerospace 146-300,2119,113,55,0,The aircraft crashed into a lake after it was unable to get airborne while attempting to takeoff. Mechanical failure. Flaps selected but did not extend.
1833,26 07 1993,15:48:00,"Haenam, South Korea",Asiana Airlines,Boeing B-737-5L9,733,110,68,0,The aircraft hit Mt. Ungeo at 800 ft. while on approach after two missed landing attempts in high winds and heavy rain. Captain's decision to land in weather that had fallen below minima.
1834,30 07 1993,,"Serawak, Malaysia",Hornbill Airways,Shorts SC-7 Skyvan 3-100,,17,1,0,The aircraft ran low of fuel while en route and crashed during the subsequent attempted forced landing on open ground in the jungle. The aircraft strayed off course after encountering poor weather conditions.
1835,31 07 1993,13:00:00,"Devghat, Nepal",Everest Air,Dornier Do-228-101,,19,19,0,"The aircraft flew into a hillside during a visual approach to Bharatpur. The accident happened in daylight and good weather, however,  the mountains were shrouded in clouds."
1836,08 07 1993,15:15:00,"Augusta, Georgia",Air Taxi - Air Medical Leasing,Beechcraft C-90,,4,4,0,The pilot's failure to adequately evaluate inflight weather conditions which resulted in a loss of control when the airplane encountered a thunderstorm.
1837,18 08 1993,16:56:00,"Leeward Point Airfield, Guantanamo Bay, Cuba",American International Airways,McDonnell Douglas DC-8-61,808,3,0,0,"The plane crashed 1/4 of a mile short of the runway, while on approach. Impaired judgment, decision making and flying abilities of the captain and flight crew due to the effects of fatigue."
1838,26 08 1993,,"Near Aldan, Russia",Sakha Airlines,Let 410UVP-E,,24,24,0,A sudden pitch-up during approach led the crew to go-around.  The pitch-up continued until the plane stalled and crashed.  Improperly loaded baggage shifted the center of gravity beyond the acceptable limit.
1839,28 08 1993,10:45:00,"Khorag, Tajikistan",Tajikistan Airlines,Yakovlev YAK-40,,86,82,0,"While taking off, the aircraft, overloaded by 3 times the number of people the plane was designed for, never got airborne, overran the runway and crashed into the Pyanj river. The crew was coerced into taking off by armed men who commandeered the plane."
1840,14 09 1993,15:33:00,"Warsaw, Poland",Lufthansa,Airbus A320-211,2904,70,2,0,"The aircraft skidded off  the end of the runway while landing. The crew was made aware of windshear at approach end of runway but not of poor water drainage on the runway nor a change in wind direction. A very light touch of the runway surface with the landing gear and lack of compression of the left landing gear leg to the extent understood by the aircraft computer as the actual landing, resulted in delayed deployment of spoilers and thrust reversers. The delay was about 9 seconds. Thus, the braking commenced with delay and in a condition of heavy rain and strong tailwind the aircraft did not stop on the runway. The aircraft was named Kulbach."
1841,21 09 1993,,"Sukhumi, Georgia",Transair Georgia Airlines,Tupolev TU-134A,,27,27,0,Crashed into the sea. Shot down with a missile by Abkhazi separatist rebels.
1842,22 09 1993,18:30:00,"Sukhumi, Georgia",Transair Georgia Airlines,Tupolev TU-154B,,132,106,0,The aircraft was hit by a missile then crash landed on the runway. Terrorist act  by Abkhazian rebels.
1843,23 09 1993,,"Sukhumi,  Georgia",Transair Georgia Airlines,Tupolev 134A,,30,1,0,"While on the ground, the aircraft struck by artillery fire from Abkhazian rebels, killing one crew member."
1844,10 04 1993,,"Near Svanetia, Georgia",Military - Georgian Air Force,Mil Mi-8 (helicopter),,60,60,0,
1845,25 10 1993,,"Franz Josef Glacier, New Zealand",Hibiscus Air,GAF Nomad N-22,,9,9,0,"The plane was on a seniflight of the Mt. Cook area and impacted Franz Josef Glacier at 4,500 ft. The aircraft became trapped in a narrow valley and as the pilot attempted to turn around within the valley the aircraft stalled while it was in a steep bank."
1846,26 10 1993,13:04:00,"Fuzhou, China",China Eastern Airlines,McDonnell Douglas MD-82,5398,80,2,0,"While landing during a rainstorm, the aircraft went off the end of the runway, into a swamp, collapsing the landing gear and breaking the fuselage into three sections."
1847,27 10 1993,19:30:00,"Near Namsos, Norway",Wideroe's Flyveselksap,de Havilland Canada DHC-6 Twin Otter 300,,20,7,0,"The aircraft descended below minima during a localizer approach, without a glideslope, struck the top of trees and crashed into a swamp in heavy rain showers and strong winds."
1848,11 06 1993,08:51:00,"Greensburg, Indiana",Roadrunner Airlines,Cessna 421B Golden Eagle,,5,5,0,"One witness, located about two miles south of the airport, saw the airplane turn sharply left, drop nose low, recover, drop nose low, and then descend from sight behind trees. Investigators and rescue personnel discovered a large amount of ice debris along the flight path and outside the fire ring at the crash site. An inadvertent stall by the pilot in command. Factors associated with the accident are the icing conditions and low ceilings."
1849,11 10 1993,18:05:00,"Sandy Lake, Canada",Air Manitoba,Hawker Siddeley HS-748-234 Srs. 2A,205,7,7,0,"The aircraft took off and made a low right turn, struck trees and crashed. The crew most likely lost situational awareness and as a result did not detect the increasing deviation from their intended flight path. Contributing factor was the loss of AC power to some of the flight instruments the reason for which could not be determined."
1850,13 11 1993,14:55:00,"Urumqi, China",China Northern Airlines,McDonnell Douglas MD-82,6901,102,12,0,"The plane crashed short of the runway while landing in dense fog, hitting power lines and a wall. The autopilot disconnected during approach and re-engaged with the vertical speed mode at 800ft/min."
1851,15 11 1993,19:07:00,"Near Kerman, Iran",Magistralnye Avialinii,Antonov AN-124,,17,17,0,Crashed while in a holding pattern and after running out of fuel. The crew did not follow a standard holding pattern.
1852,20 11 1993,23:30:00,"Near Ohrid, Macedonia",Aviaimpex (Macedonia),Yakovlev YAK-42D,110,116,116,0,The airliner crashed and exploded after an aborted landing at Ohrid Airport. The aircraft was diverted to Ohrid because of bad weather. Violation of airport traffipattern. The flight had earlier carried out a missed approach but the crew had reportedly failed to follow the normal procedure and as a result lost situational awareness.
1853,21 11 1993,,"Near Palencia, Guatemala",Aerovias de Guatemala SA,Beech Queen Air Model 80,,13,13,0,"Crashed into a  mountain, 30km from Guatemala City at 10,500 ft."
1854,12 01 1993,19:50:00,"Hibbing, Minnesota",Express Airlines - Northwest Airlink,British Aerospace Jetstream BA-3100,5719,18,18,0,"While on approach, the aircraft collided with trees and terrain 3 miles from the runway threshold in fog and freezing drizzle. Delay by the captain to start the descent which led to a breakdown in crew coordination and the loss of altitude awareness by the flightcrew during an unstabilized approach in night instrument meteorological conditions."
1855,12 03 1993,,"Tuktoyaktuk, NWT, Canada",ArctiWings & Rotors,Britten Norman BN-2A Trislander7,,7,7,0,"Four minutes after taking off the pilot reported he was having engine problems and was returning. The aircraft subsequently crashed onto a frozen lake, 7.7nm from the airfield in darkness."
1856,12 09 1993,,"Off Dakar, Senegal",Air Senegal / Gambia Airways,DHC-6 Twin Otter 300 / NAMC YS-11,,3,3,0,"Midair collision. The Twin Otter, which was descending inbound to Dakar, collided with a Gambia Airways aircraft which had just taken off. The Twin Otter crashed into the sea. Failure to maintain assigned altitude. Three killed aboard the Twin Otter. The YS-11 was able to land safely."
1857,13 12 1993,09:20:00,"Phonesavanh, Laos",Lao Aviation,Yunshuji Y-12-II,,18,18,0,Crashed on approach to Phongsavanh Airport after striking trees in heavy fog.
1858,15 12 1993,14:00:00,"Near Naga, Philippines",Military - Philippine Air Force,Lockheed C-130H,,29,29,0,"Flew into the side of Mt. Manase at 2,000 ft., 21nm from the airport  during a VOR approach to Naga. The pilot descended too low in heavy rain and zero visibility."
1859,15 12 1993,17:33:00,"Santa Ana, California",Air Taxi - Martin Aviation LP,Israel Aircraft Industries 1124A,,5,5,0,"The aircraft followed in a Boeing 757 for landing, became caught in its wake turbulence, rolled into a deep descent and crashed. Rich Snyder, president of In-N-Out Burger chain killed."
1860,26 12 1993,,"Gyumri, Armenia",Kuban Airlines,Antonov AN-26,5719,36,36,0,The aircraft stalled and crashed in fog when the tail struck the runway as the pilot attempted a go-around as it landed at Gyumri.
1861,01 03 1994,12:07:00,"Near Irrupts, Siberia, Russia",Baikal Air,Tupolev TU-154M,130,124,124,1,"The plane crashed during takeoff following a fire in the No. 2 engine and subsequent loss of the two remaining engines. Faulty air starter unit. Crew took off ignoring the 'starter warning light' thinking it was false.  The crew underestimated the severity of the situation due to shortcomings in the operational documentation.  Breakup of the No.2 engine starter, damaging fuel and oil lines and causing a fire."
1862,10 02 1994,,"Off Lord Howe Island, NWSW, Australia",Seaview Aviation,Rockwell Turbo Commander 690B,,9,9,0,Crashed at sea 42 minutes after departing.  The pilot reported mechanical problems before contact was lost with the plane.
1863,01 05 1994,18:29:00,"Okeechobee, Florida",Kimura International,Beechcraft King Air B90,,10,10,0,"The pilot indicated he had engine trouble and was attempting to land at Okeechobee. When he could not find the airport, he attempted to land on a dirt road. Upon observing a car on the road he aborted the landing rolled to the right and crashed into trees. Improper remedial action concerning a right engine power anomaly and the failure to maintain adequate airspeed during a go-around from a precautionary landing. Failure of the right engine fuel control bearing."
1864,01 07 1994,23:21:00,"Columbus, Ohio",AtlantiCoast Airlines (United Express),British Aerospace Jetstream 4101,6291,8,5,0,The aircraft stalled 1.2 miles east of runway 28L during an ILS approach. An aerodynamistall occurred when the flightcrew allowed the airspeed to decay to stall speed following a poorly planned and executed approach characterized by an absence of procedural discipline. Improper pilot response to the stall warning including failure to advance the power levers to maximum and inappropriately raising the flaps. Flightcrew's inexperience in a  'glass cockpit' automated aircraft.
1865,18 01 1994,,"Kinshasa, DemocratiRepubliCongo",Scibe Airlift Cargo Zaire,Learjet 24D,,2,2,0,The cargo plane ran out of fuel and crashed.
1866,24 02 1994,11:16:00,"Nalchik, Russia",North Western Air Transport,Antonov AN-12V,,13,13,0,"While on approach the nose pitched up, the aircraft stalled and crashed short of the runway. Icing of the horizontal stabilizer."
1867,25 02 1994,,"Near Carpish, Peru",Expresso Aรฉreo,Yakovlev YAK-40,,31,31,0,"The plane struck Cerro Carpich at 4,000 ft., 6 minutes after leaving the airport at Tingo Maria."
1868,25 02 1994,19:46:00,"East Midlands, England",British World Airways,Vickers 813 Viscount,4272,2,1,0,"The cargo plane struck trees and high terrain after losing three engines during severe icing. Multiple engine failures occurred as a result of flight in extreme icing conditions. Incomplete performance of the emergency drills by the crew, as a result of not referring to the Emergency Checklist, prejudiced the chances of successful engine re-starts. Crew actions for securing and re-starting the failed engines, which were not in accordance with the operator's procedures, limited the power available. The drag from two unfeathered propellers of the failed engines and the weight of the heavily iced airframe resulted in a loss of height and control before the chosen diversion airfield could be reached. Poor Crew Resource Management reduced the potential for emergency planning, decision making and workload sharing. Consequently, the crew had no contingency plan for the avoidance of the forecast severe icing conditions, and also was unaware of the relative position of a closer diversion airfield which could have been chosen by making more effective use of air traffiservices."
1869,03 02 1994,17:59:00,"New York, New York",Continental Airlines,McDonnell Douglas MD-82,795,116,0,0,"The aircraft overran the runway and came to rest at the edge of the east river, after an aborted takeoff. Failure to turn on the pilot/statiheat system resulting in erroneous air speed indication. Though heavily damaged, the plane was repaired and put back into service."
1870,03 08 1994,14:54:00,"New Delhi, India",Sahara,Boeing 737-2R4C,,4,4,0,Crashed during touch-and-go exercises. Application of wrong rudder by trainee pilot  during engine failure exercise. Captain did not guard/block the rudder control and give clear commands as instructor so as to obviate the application of wrong rudder control by the trainee pilot.
1871,03 09 1994,,"Near Tamworth,  Australia",Jetcraft,Swearingen SA.226AT Merlin IV,,1,1,0,Crashed while attempting to land at Tamworth.
1872,14 03 1994,,"Off Malindi, Kenya",Military - U.S. Air Force,Lockheed C-130H Hercules,,8,8,0,Crashed into sea after a shell exploded in one of the gun barrells.
1873,17 03 1994,22:30:00,Near Nag,Military - Iranian Air Force,Lockheed Hercules C-130,-,32,32,0,Shot down with a missile by Armenian forces while en route.
1874,18 03 1994,01:56:00,"Spokane, Washington",Salair,Douglas DC-3C,,2,2,0,"The cargo plane lost a right engine during takeoff. The plane tried to return to the airport but crashed. The failure of the pilot-in-command to maintain airspeed. Factors to the accident were: cylinder fatigue, dark night and stall encountered."
1875,18 03 1994,11:43:00,"Key West, Florida",Chalk's International Airlines,Grumman G-73T Turbo Mallard,,2,2,0,"After discharging passengers the sea plane took off, the nose pitched up and crashed. Failure of the pilot-in-command to assure the bilges were adequately pumped free of water, which resulted in the aft center of gravity limit to be exceeded, and failure of the aircrew to follow the checklist. A factor related to the accident was the water leak."
1876,21 03 1994,,"Weipa, Australia",Aurukun Air Services,Britten-Norman BN-2A-21 Trislander,,6,6,0,"Lost an engine while taking off and then lost a second engine and crashed 1,300 ft. beyond the runway."
1877,23 03 1994,,"Near Bogota, Colombia",Orion - Air Taxi,Cessna 650 Citation VI,,4,4,0,The plane crashed during an approach to Bogota.
1878,06 02 1994,18:00:00,"Near Campbeltown, Scotland",Military - Royal Air Force,Boeing Vertol Chinook HC-2 (helicopter),,29,29,0,The helicopter crashed into The Mountain of the Stone Slab at an elevation of 800 ft. Pilot error in proceeding towards high ground in heavy fog below a safe altitude.
1879,23 03 1994,00:57:00,"Near Mezhdurechensk, Russia",Aeroflot Russian International Airways,Airbus A310-304,593,75,75,0,"The aircraft crashed after a captain allowed his child to manipulate the controls of the plane. The pilot's 11 year old daughter and 16 year old son were taking turns in the pilot's seat. While the boy was flying, he inadvertently disengaged the autopilot linkage to the ailerons and put the airliner in a bank of 90 degrees which caused the nose to drop sharply. The co-pilot pulled back on the yoke to obtain level flight but the plane stalled. With his seat pulled all the way back, the co-pilot in the right hand seat could not properly control the aircraft. After several stalls and rapid pull-ups the plane went into a spiral descent. In the end the co-pilot initiated a 4.8g pull-up and nearly regained a stable flight path but the aircraft struck the ground in an almost level attitude killing all aboard. The aircraft was named Glinka, after Mikhail Glinka, the father of Russian music."
1880,23 03 1994,14:30:00,"Near Fayetteville, North Carolina",Military - U.S. Air Force / Military U.S. Air Force,GD F-16D / Lockheed C-130E,,7,0,23,The jet fighter collided in mid air with the transport as they approached Pope Air Force Base. The fighter then slid into a staging area where troops were boarding a third aircraft (66-0173). The two  fighter jet pilots parachuted to safety and the crew of five of 68-10942 were not injured but 23 on the ground were killed.  Confusing instructions given to the F-16 by a civilian tower controller at Fayetteville.
1881,04 03 1994,16:36:00,"Lamoille, Nevada",Air Taxi - El Aero Services Inc.,Bell 206B3,,5,5,0,"The helicopter crashed shortly after takeoff. The ingestion of foreign material (snow) in the engine, which resulted in a flameout (loss of engine power). Factors related to the accident were: the adverse weather conditions (snow falling & high density altitude), the lack of snow covers to protect the engine intakes while parked and awaiting for the weather conditions to improve, improper planning/decision by the pilot and the company/operator management, inadequate information in the flight manual, and the lack of suitable terrain for an emergency landing."
1882,04 04 1994,14:46:00,"Amsterdam, Netherlands",KLM Cityhopper,Saab 340B,433,24,3,0,"Shortly after taking off, the plane experienced engine problems and returned to the airport. While attempting to land the aircraft rolled to the right, pitched up, stalled and cashed. Inadequate use of the flight controls during an asymmetrigo-around resulting in loss of control. Contributing factors were insufficient understanding of the flightcrew of the SAAB 340B engine oil system, lack of awareness of the consequences of an aircraft configuration with one engine in flight idle and poor crew resource management."
1883,04 06 1994,,"Ambato, Ecuador",TAME,de Havilland Canada DHC-6 Twin Otter 300,,17,17,0,"Struck Mt. Lozan, at 13,400 ft. which was obscured by clouds 47 minutes after taking off."
1884,04 06 1994,,"Kigali, Rwanda",Rwanda Government,Dassault Falcon 50,,12,12,0,"Shot down by a missile. President of Burundi, Cyprien Ntaryamira and president of Rwanda, Juvenal Habyarimana were killed."
1885,14 04 1994,09:25:00,Northern Iraq,Military - U.S. Army / Military U.S. Army,Sikorsky UH-60 / Sikorsky UH-60,,26,26,0,Shot down by friendly fire during the Gulf War. Thirteen killed on each helicopter.
1886,25 04 1994,,"Nanga Pinoh, Indonesia",Dirgantara Air Services,Britten Norman BN-2A-21 Trislander,,11,11,0,Crashed into Mt. Saran 30 minutes before it was scheduled to land in poor weather condtions.
1887,26 04 1994,20:16:00,"Near Komaki, Aichi, Japan",China Airlines (Taiwan),Airbus A300B4-622R,140,271,264,0,"While on ILS approach to Nagoya Airport, at an altitude of 1,000 feet, the first officer inadvertently triggered the TOGA (take-off-go-around) lever. The crew tried to override this situation by turning off the autothrottle and reducing air speed. The aircraft stalled, hit the runway tail first and burst into flames. The plane crashed because of an extreme out of trim configuration brought about by the fact that the tailplane setting had moved automatically and undetected to a maximum nose-up position. The plane climbed at a steep angle until it stalled. The crew could have saved the aircraft even in the final seconds had they reverted to basiflight procedures and switched off the autopilot."
1888,27 04 1994,22:56:00,"Stratford, Connecticut",Action Airlines,Piper PA-31-350 Navajo,,9,8,0,"Landed in fog, overrunning the runway and crashing into a blast fence. The failure of the captain to use the available ILS glideslope, his failure to execute a go-around when conditions were not suitable for landing, and his failure to land the airplane at a point sufficient to allow for a safe stopping distance; the fatalities were caused by the presence of the nonfrangible blast fence and the absence of a safety area at the end of the runway"
1889,29 04 1994,14:27:00,"Near El Rosa, Colombia",Lineas Aereas de los Libertadores,Cessna 208 Caravan I,,9,8,0,Crashed into a mountain while inbound for Bogota.
1890,05 07 1994,,"Sao Gabriel, Brazil",Rico Taxi Aero,Embraer 110 Bandeirante,,16,8,0,The aircraft was destroyed when it undershot the runway during a visual approach to Sao Gabriel and stuck trees.
1891,23 05 1994,10:55:00,"Loma Linda, Colombia",Arall,Pilatus Britten-Norman BN-2B-27 Islander,,11,4,0,Crashed while making an emergency landing following engine trouble.
